,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
0,2,PT12M00.00S,2021-07-15T01:11:34.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-07-15T01:11:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,PT11M55.00S,2021-07-15T01:11:38.9Z,1,REGULAR,jumpball,recovered,[],203109,,,1610612756,0,0,2021-07-15T01:11:38Z,40000,,,0,,Jump Ball D. Ayton vs. B. Lopez: Tip to J. Crowder,"[203109, 1629028, 201572]",1610612756,PHX,startperiod,J. Crowder,203109,Crowder,J. Crowder,Ayton,1629028,Lopez,201572,,,,,,,,,,,,,,,,,,,,,
2,7,PT11M44.00S,2021-07-15T01:11:49.7Z,1,REGULAR,2pt,Jump Shot,[],1626164,21.50131406044678,64.77481617647058,1610612756,0,2,2021-07-15T01:12:40Z,70000,-74,150,1,left,D. Booker 16' pullup Jump Shot (2 PTS) (D. Ayton 1 AST),"[1626164, 1629028]",1610612756,PHX,pullup,,,Booker,D. Booker,,,,,16.69,Made,2,D. Ayton,1629028,1,,,,,,,,,,,,,,,
3,9,PT11M22.00S,2021-07-15T01:12:11.2Z,1,REGULAR,2pt,Jump Shot,[],203114,71.61629434954008,63.32720588235294,1610612749,0,2,2021-07-15T01:12:21Z,90000,67,214,1,right,MISS K. Middleton 22' Jump Shot,[203114],1610612749,MIL,,,,Middleton,K. Middleton,,,,,22.44,Missed,,,,,,,,,,,,,,,,,,,
4,10,PT11M19.00S,2021-07-15T01:12:14.2Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,0,2,2021-07-15T01:12:21Z,100000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,9,1,1,0,,,,,,,,,,,
5,11,PT11M04.00S,2021-07-15T01:12:30.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,13.92904073587385,63.08210784313726,1610612756,0,2,2021-07-15T01:12:36Z,110000,-65,78,1,left,MISS C. Paul 10' pullup Shot,[101108],1610612756,PHX,pullup,,,Paul,C. Paul,,,,,10.21,Missed,,,,,,,,,,,,,,,,,,,
6,12,PT11M01.00S,2021-07-15T01:12:33.3Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,0,2,2021-07-15T01:12:36Z,120000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,11,1,1,0,,,,,,,,,,,
7,13,PT10M56.00S,2021-07-15T01:12:37.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201950,74.72076215505913,11.833639705882353,1610612749,0,2,2021-07-15T01:13:22Z,130000,-191,185,1,right,MISS J. Holiday 26' running 3PT,[201950],1610612749,MIL,running,,,Holiday,J. Holiday,,,,,26.58,Missed,,,,,,,,,,,,,,,,,,,
8,14,PT10M53.00S,2021-07-15T01:12:40.2Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,2,2021-07-15T01:12:45Z,140000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,13,1,1,0,,,,,,,,,,,
9,15,PT10M47.00S,2021-07-15T01:12:46.9Z,1,REGULAR,turnover,lost ball,[],1626164,,,1610612756,0,2,2021-07-15T01:12:53Z,150000,,,0,,D. Booker lost ball TURNOVER (1 TO),"[1626164, 201950]",1610612756,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,1,Holiday,201950,,,,,,,,
10,16,PT10M47.00S,2021-07-15T01:12:46.9Z,1,REGULAR,steal,,[],201950,,,1610612749,0,2,2021-07-15T01:12:49Z,160000,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
11,17,PT10M42.00S,2021-07-15T01:12:52.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203114,92.19776609724047,54.23560049019608,1610612749,2,2,2021-07-15T01:12:58Z,170000,21,21,1,right,K. Middleton running finger roll Layup (2 PTS) (J. Holiday 1 AST),"[203114, 201950]",1610612749,MIL,running finger roll,,,Middleton,K. Middleton,,,,,2.97,Made,2,J. Holiday,201950,1,,,,,,,,,,,,,,,
12,19,PT10M30.00S,2021-07-15T01:13:03.5Z,1,REGULAR,2pt,Jump Shot,[],1629028,23.340998685939553,39.28462009803921,1610612756,2,2,2021-07-15T01:16:57Z,190000,54,167,1,left,MISS D. Ayton 17' Jump Shot,[1629028],1610612756,PHX,,,,Ayton,D. Ayton,,,,,17.53,Missed,,,,,,,,,,,,,,,,,,,
13,20,PT10M27.00S,2021-07-15T01:13:06.5Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612756,2,2,2021-07-15T01:16:57Z,200000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628969],1610612756,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,19,1,0,1,,,,,,,,,,,
14,21,PT10M25.00S,2021-07-15T01:13:08.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203109,28.619825886990803,16.02328431372549,1610612756,2,2,2021-07-15T01:13:12Z,210000,170,217,1,left,MISS J. Crowder 27' 3PT,[203109],1610612756,PHX,,,,Crowder,J. Crowder,,,,,27.52,Missed,,,,,,,,,,,,,,,,,,,
15,22,PT10M23.00S,2021-07-15T01:13:10.4Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,2,2,2021-07-15T01:13:12Z,220000,,,0,,K. Middleton REBOUND (Off:0 Def:2),[203114],1610612749,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,21,2,2,0,,,,,,,,,,,
16,23,PT10M09.00S,2021-07-15T01:13:25.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201572,94.34954007884363,48.26133578431372,1610612749,4,2,2021-07-15T01:13:31Z,230000,-9,1,1,right,B. Lopez DUNK (2 PTS) (J. Holiday 2 AST),"[201572, 201950]",1610612749,MIL,,,,Lopez,B. Lopez,,,,,0.87,Made,2,J. Holiday,201950,2,,,,,,,,,,,,,,,
17,25,PT09M55.00S,2021-07-15T01:13:38.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,14.191852825229962,50.44806985294118,1610612756,4,4,2021-07-15T01:13:45Z,250000,-2,81,1,left,D. Booker 8' driving floating Jump Shot (4 PTS),[1626164],1610612756,PHX,driving floating,,,Booker,D. Booker,,,,,8.09,Made,4,,,,,,,,,,,,,,,,,,
18,26,PT09M39.00S,2021-07-15T01:13:55.3Z,1,REGULAR,2pt,Jump Shot,[],203114,88.69908015768725,66.02328431,1610612749,4,4,2021-07-15T01:14:01Z,260000,80,54,1,right,MISS K. Middleton 9' pullup Shot,[203114],1610612749,MIL,pullup,,,Middleton,K. Middleton,,,,,9.64,Missed,,,,,,,,,,,,,,,,,,,
19,27,PT09M36.00S,2021-07-15T01:13:58.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,4,4,2021-07-15T01:14:01Z,270000,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,26,2,2,0,,,,,,,,,,,
20,28,PT09M22.00S,2021-07-15T01:14:11.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],101108,8.360709592641262,48.84344362745098,1610612756,4,6,2021-07-15T01:14:15Z,280000,6,26,1,left,C. Paul driving Layup (2 PTS) (D. Ayton 2 AST),"[101108, 1629028]",1610612756,PHX,driving,,,Paul,C. Paul,,,,,2.67,Made,2,D. Ayton,1629028,2,,,,,,,,,,,,,,,
21,30,PT09M08.00S,2021-07-15T01:14:26.0Z,1,REGULAR,3pt,Jump Shot,[],201572,92.37844940867281,97.64093137254902,1610612749,4,6,2021-07-15T01:14:31Z,300000,238,19,1,right,MISS B. Lopez 3PT,[201572],1610612749,MIL,,,,Lopez,B. Lopez,,,,,23.9,Missed,,,,,,,,,,,,,,,,,,,
22,31,PT09M06.00S,2021-07-15T01:14:28.0Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,4,6,2021-07-15T01:14:31Z,310000,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628969],1610612756,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,30,2,1,1,,,,,,,,,,,
23,32,PT08M57.00S,2021-07-15T01:14:36.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,15.243101182654403,63.32720588235294,1610612756,4,8,2021-07-15T01:14:41Z,320000,-67,91,1,left,M. Bridges 11' pullup Jump Shot (2 PTS),[1628969],1610612756,PHX,pullup,,,Bridges,M. Bridges,,,,,11.26,Made,2,,,,,,,,,,,,,,,,,,
24,33,PT08M43.00S,2021-07-15T01:14:51.1Z,1,REGULAR,3pt,Jump Shot,[],201572,70.12155059132719,76.29442401960785,1610612749,4,8,2021-07-15T01:20:02Z,330000,131,228,1,right,MISS B. Lopez 26' 3PT,[201572],1610612749,MIL,,,,Lopez,B. Lopez,,,,,26.36,Missed,,,,,,,,,,,,,,,,,,,
25,34,PT08M42.00S,2021-07-15T01:14:52.1Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,4,8,2021-07-15T01:20:02Z,340000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756,PHX,,,,Paul,C. Paul,,,,,,,,,,,33,1,1,0,,,,,,,,,,,
26,35,PT08M29.00S,2021-07-15T01:15:05.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,8.754927726675426,45.90226715686275,1610612756,4,10,2021-07-15T01:15:10Z,350000,20,30,1,left,D. Ayton cutting DUNK (2 PTS) (J. Crowder 1 AST),"[1629028, 203109]",1610612756,PHX,cutting,,,Ayton,D. Ayton,,,,,3.62,Made,2,J. Crowder,203109,1,,,,,,,,,,,,,,,
27,37,PT08M29.00S,2021-07-15T01:15:11.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,4,10,2021-07-15T01:15:11Z,370000,,,0,,MIL Timeout,[],1610612749,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,38,PT08M29.00S,2021-07-15T01:17:50.3Z,1,REGULAR,substitution,out,[],203507,,,1610612749,4,10,2021-07-15T01:18:23Z,380000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
29,39,PT08M29.00S,2021-07-15T01:17:50.3Z,1,REGULAR,substitution,in,[],1626192,,,1610612749,4,10,2021-07-15T01:18:23Z,390000,,,0,,SUB in: P. Connaughton,[1626192],1610612749,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
30,40,PT08M12.00S,2021-07-15T01:19:03.1Z,1,REGULAR,2pt,Jump Shot,[],203114,78.00591327,39.52971814,1610612749,4,10,2021-07-15T01:19:07Z,400000,-52,154,1,right,MISS K. Middleton 16' turnaround Shot,[203114],1610612749,MIL,turnaround,,,Middleton,K. Middleton,,,,,16.29,Missed,,,,,,,,,,,,,,,,,,,
31,41,PT08M10.00S,2021-07-15T01:19:05.9Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,4,10,2021-07-15T01:19:06Z,410000,,,0,,C. Paul REBOUND (Off:0 Def:2),[101108],1610612756,PHX,,,,Paul,C. Paul,,,,,,,,,,,40,2,2,0,,,,,,,,,,,
32,42,PT08M04.00S,2021-07-15T01:19:12.2Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,4,10,2021-07-15T01:19:20Z,420000,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 203114]",1610612756,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,1,Middleton,203114,,,,,,,,
33,43,PT08M04.00S,2021-07-15T01:19:12.2Z,1,REGULAR,steal,,[],203114,,,1610612749,4,10,2021-07-15T01:19:14Z,430000,,,0,,K. Middleton STEAL (1 STL),[203114],1610612749,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
34,44,PT07M53.00S,2021-07-15T01:19:24.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201950,91.59001314060447,45.840992647058826,1610612749,4,10,2021-07-15T01:19:29Z,440000,-21,27,1,right,MISS J. Holiday driving Layup,[201950],1610612749,MIL,driving,,,Holiday,J. Holiday,,,,,3.38,Missed,,,,,,,,,,,,,,,,,,,
35,45,PT07M53.00S,2021-07-15T01:19:24.0Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,4,10,2021-07-15T01:19:29Z,450000,,,0,,M. Bridges REBOUND (Off:1 Def:2),[1628969],1610612756,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,44,3,2,1,,,,,,,,,,,
36,46,PT07M53.00S,2021-07-15T01:19:28.9Z,1,REGULAR,foul,personal,[],201572,,,1610612756,4,10,2021-07-15T01:19:39Z,460000,,,0,,B. Lopez personal FOUL (1 PF),"[201572, 1628969]",1610612749,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,2004,1,0,Bridges,1628969,,,
37,48,PT07M41.00S,2021-07-15T01:19:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,15.062417871222076,44.676776960784316,1610612756,4,10,2021-07-15T01:19:52Z,480000,27,89,1,left,MISS D. Booker 9' driving floating Shot,[1626164],1610612756,PHX,driving floating,,,Booker,D. Booker,,,,,9.3,Missed,,,,,,,,,,,,,,,,,,,
38,49,PT07M40.00S,2021-07-15T01:19:49.7Z,1,REGULAR,rebound,offensive,[],1626164,,,1610612756,4,10,2021-07-15T01:19:52Z,490000,,,0,,D. Booker REBOUND (Off:1 Def:0),[1626164],1610612756,PHX,,,,Booker,D. Booker,,,,,,,,,,,48,1,0,1,,,,,,,,,,,
39,50,PT07M39.00S,2021-07-15T01:19:51.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626164,15.719448094612352,47.127757352941174,1610612756,4,12,2021-07-15T01:19:55Z,500000,14,95,1,left,D. Booker 9' Jump Shot (6 PTS),[1626164],1610612756,PHX,,,,Booker,D. Booker,,,,,9.64,Made,6,,,,,,,,,,,,,,,,,,
40,51,PT07M23.00S,2021-07-15T01:20:06.7Z,1,REGULAR,3pt,Jump Shot,[],203114,83.83705650459922,97.15073529411765,1610612749,7,12,2021-07-15T01:22:58Z,510000,236,99,1,right,K. Middleton 25' 3PT  (5 PTS) (P. Tucker 1 AST),"[203114, 200782]",1610612749,MIL,,,,Middleton,K. Middleton,,,,,25.59,Made,5,P. Tucker,200782,1,,,,,,,,,,,,,,,
41,53,PT07M00.00S,2021-07-15T01:20:34.3Z,1,REGULAR,foul,personal,['2freethrow'],201572,,,1610612756,7,12,2021-07-15T01:20:57Z,530000,,,0,,B. Lopez shooting personal FOUL (2 PF) (Booker 2 FT),"[201572, 1626164]",1610612749,MIL,shooting,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,1148,2,0,Booker,1626164,,,
42,55,PT07M00.00S,2021-07-15T01:20:58.6Z,1,REGULAR,freethrow,1 of 2,[],1626164,,,1610612756,7,13,2021-07-15T01:20:58Z,550000,,,0,,D. Booker Free Throw 1 of 2 (7 PTS),[1626164],1610612756,PHX,,,,Booker,D. Booker,,,,,,Made,7,,,,,,,,,,,,,,,,,,
43,56,PT07M00.00S,2021-07-15T01:20:59.7Z,1,REGULAR,substitution,out,[],201572,,,1610612756,7,13,2021-07-15T01:21:05Z,560000,,,0,,SUB out: B. Lopez,[201572],1610612749,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,
44,57,PT07M00.00S,2021-07-15T01:20:59.7Z,1,REGULAR,substitution,in,[],203507,,,1610612756,7,13,2021-07-15T01:21:05Z,570000,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
45,58,PT07M00.00S,2021-07-15T01:21:14.4Z,1,REGULAR,freethrow,2 of 2,[],1626164,,,1610612756,7,14,2021-07-15T01:21:14Z,580000,,,0,,D. Booker Free Throw 2 of 2 (8 PTS),[1626164],1610612756,PHX,,,,Booker,D. Booker,,,,,,Made,8,,,,,,,,,,,,,,,,,,
